id,name,brand,type,fuel_capacity,transmission,seating_capacity,price_per_day,original_price,image_url,tags
1,Koenigsegg,,Sport,90L,Manual,2 People,$99.00,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fcar.11698147.jpg&w=640&q=75,"popular"
2,Nissan GT-R,,Sport,80L,Manual,2 People,$80.00,$100.00,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fcar(1).cab606a9.jpg&w=640&q=75,"popular"
3,Rolls-Royce,,Sedan,70L,Manual,4 People,$96.00,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(2).bd07489a.jpg&w=1200&q=75,"popular"
4,Nissan GT-R,,Sport,80L,Manual,2 People,$80.00,$100.00,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fcar(1).cab606a9.jpg&w=1200&q=75,"popular"
5,Tesla Model 3,,Electric,100kWh,Manual,5 seats,$100.00/day,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(13).37182fc4.jpg&w=1200&q=75,"recommended"
6,Ford Mustang,,Gasoline,60L,Manual,4 seats,$80.00/day,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(14).5f4e5799.jpg&w=1200&q=75,"recommended"
7,BMW X5,,Diesel,70L,Manual,7 seats,$150.00/day,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(15).5f4e5799.jpg&w=1200&q=75,"recommended"
8,Audi A6,,Hybrid,50L,Manual,5 seats,$120.00/day,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(16).fc285c8d.jpg&w=1200&q=75,"recommended"
9,Mercedes-Benz C-Class,Mercedes,Gasoline,65L,Manual,5 seats,$140.00/day,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(17).574834dc.jpg&w=1200&q=75,"recommended"
10,Porsche 911,Porsche,Gasoline,60L,Manual,4 seats,$200.00/day,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(18).1b97b4cf.jpg&w=1200&q=75,"recommended"
11,Chevrolet Camaro,Chevrolet,Gasoline,70L,Manual,4 seats,$110.00/day,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(19).547db9f7.jpg&w=1200&q=75,"recommended"
12,Nissan Altima,Nissan,Hybrid,50L,Manual,5 seats,$90.00/day,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(20).1b97b4cf.jpg&w=1200&q=75,"recommended"
13,Rolls-Royce,,SUV,70L,Manual,6 People,$72.00,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(17).574834dc.jpg&w=1200&q=75,"recommended"
14,CR-V,,SUV,80L,Manual,6 People,$80.00,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(15).5f4e5799.jpg&w=1200&q=75,"recommended"
15,All New Terlos,,SUV,90L,Manual,6 People,$74.00,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(16).fc285c8d.jpg&w=1200&q=75,"recommended"
16,MG ZX Exclusive,,Hatchback,90L,Manual,2 People,$99.00,,https://car-rental-website-five.vercel.app/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FCar(15).5f4e5799.jpg&w=1200&q=75,"recommended"
